Resturant Name,Phone Number,Address
Capital Cruises,(512) 782-8662,"208 Barton Springs Rd, Austin, TX 78704"
Catfish Parlour,(512) 379-2242,"11910 Research BlvdAustin, TX 78759"
Fonda San Miguel Restaurant,(512) 459-4121,"2330 W North Loop BlvdAustin, TX 78756"
Donn's #3 Texas BBQ,(512) 288-4060,"7001 Oak Meadow DrAustin, TX 78736"
Z'Tejas,(512) 346-3506,"9400 Arboretum BlvdAustin, TX 78759"
Haiku Japanese Restaurant,(512) 291-5600,"9600 S Interstate 35Austin, TX 78748"
Crawfish Shack & Oyster Bar,(512) 252-7556,"2013 Wells Branch PkwyAustin, TX 78728"
La Traviata,(512) 479-8131,"314 Congress AveAustin, TX 78701"
Carrabba's Italian Grill,(512) 345-8232,"11590 Research BlvdAustin, TX 78759"
Kawa Asian Kitchen,(512) 732-7278,"2900 N Quinlan Park RdAustin, TX 78732"
Texas Roadhouse,(512) 336-7427,"13435 N Highway 183 Ste 7Austin, TX 78750"
Chisos Grill,(512) 263-7353,"12921 Hill Country BlvdAustin, TX 78738"
Freddie's Place,(512) 445-9197,"1703 S 1st StAustin, TX 78704"
Chili's Grill & Bar,(512) 280-9300,"9900 S Interstate 35 Ste ZAustin, TX 78748"
Krazy Betty's,(512) 282-8856,"11600 Manchaca RdAustin, TX 78748"
The Original Pancake House,(512) 873-7200,"1700 W Parmer Ln Ste 650Austin, TX 78727"
Jasper's Austin,(512) 834-4111,"11506 Century Oaks TerAustin, TX 78758"
Shandeez Grill,(512) 258-6464,"8863 Anderson Mill Rd Ste 109Austin, TX 78729"
Maggiano's Little Italy,(512) 501-7870,"10910 Domain Dr Ste 100Austin, TX 78758"
Mandola's Italian,(512) 600-8500,"12815 Shops PkwyAustin, TX 78738"
Perla's,(512) 291-7300,"1400 S Congress AveAustin, TX 78704"
Asti Trattoria,(512) 451-1218,"408 E 43rd StAustin, TX 78751"
Shu Shu's Asian Cuisine,(512) 291-3002,"8303 Burnet Rd Ste 1Austin, TX 78757"
Silver Grill Cafe,(512) 291-6994,"4005 W Parmer LnAustin, TX 78727"
CHI Buffet,(512) 292-0303,"9900 S Interstate 35 Ste 500Austin, TX 78748"
Brick Oven Restaurant,(512) 292-3939,"9911 Brodie LnAustin, TX 78748"
Austin Terrier,(512) 369-3751,"3435 Greystone DrAustin, TX 78731"
Trulucks,(512) 794-8300,"10225 Research Blvd Ste 4000Austin, TX 78759"
Cho Sushi,(512) 266-8700,"4300 N Quinlan Park RdAustin, TX 78732"
Buenos Aires Cafe,(512) 441-9000,"13500 Galleria CirAustin, TX 78738"
Cool River Cafe,(512) 835-0010,"4001 W Parmer LnAustin, TX 78727"
Catfish Parlour,(512) 379-2242,"11910 Research Blvd, Austin, TX 78759"
Food Food,(512) 456-8355,"2727 Exposition Blvd, Austin, TX 78703"
Capital Cruises,(512) 872-6383,"208 Barton Springs Rd, Austin, TX 78704"
Meyers Elgin Smokehouse,(512) 281-3331,"188 Highway 290 E, Elgin, TX 78621"
Mothers Cafe & Garden,(512) 540-8342,"4215 Duval St, Austin, TX 78751"
Tomodachi Sushi,(512) 540-8056,"4101 W Parmer Ln Ste E, Austin, TX 78727"
